storeNo,partNo,date,price
2,10003,2019-09-01,523.99
2,10003,2019-10-01,408.99
2,10003,2019-11-01,0.0
2,10003,2019-12-01,403.99
3,10003,2019-07-01,597.99
3,10003,2019-08-01,582.99
3,10003,2019-09-01,503.99
3,10003,2019-10-01,563.99
3,10003,2019-11-01,418.99
3,10003,2019-12-01,443.99
4,10003,2019-07-01,0.0
4,10003,2019-08-01,572.99
4,10003,2019-09-01,0.0
4,10003,2019-10-01,473.99
4,10003,2019-11-01,533.99
4,10003,2019-12-01,493.99
5,10003,2019-07-01,438.99
5,10003,2019-08-01,513.99
5,10003,2019-09-01,587.99
5,10003,2019-10-01,513.99
5,10003,2019-11-01,423.99
5,10003,2019-12-01,473.99
6,10003,2019-07-01,577.99
6,10003,2019-08-01,508.99
6,10003,2019-09-01,513.99
6,10003,2019-10-01,453.99
6,10003,2019-11-01,413.99
6,10003,2019-12-01,533.99
7,10003,2019-07-01,468.99
7,10003,2019-08-01,398.99
7,10003,2019-09-01,508.99
7,10003,2019-10-01,423.99
7,10003,2019-11-01,563.99
7,10003,2019-12-01,592.99
1,10004,2019-07-01,552.99
1,10004,2019-08-01,0.0
1,10004,2019-09-01,660.99
1,10004,2019-10-01,749.99
1,10004,2019-11-01,730.99
1,10004,2019-12-01,761.99
2,10004,2019-07-01,647.99
2,10004,2019-08-01,514.99
2,10004,2019-09-01,514.99
2,10004,2019-10-01,527.99
2,10004,2019-11-01,749.99
2,10004,2019-12-01,679.99
3,10004,2019-07-01,527.99
3,10004,2019-08-01,514.99
3,10004,2019-09-01,761.99
3,10004,2019-10-01,641.99
3,10004,2019-11-01,533.99
3,10004,2019-12-01,736.99
4,10004,2019-07-01,546.99
4,10004,2019-08-01,742.99
4,10004,2019-09-01,552.99
4,10004,2019-10-01,0.0
4,10004,2019-11-01,514.99
4,10004,2019-12-01,546.99
5,10004,2019-07-01,634.99
5,10004,2019-08-01,704.99
5,10004,2019-09-01,647.99
5,10004,2019-10-01,654.99
5,10004,2019-11-01,749.99
5,10004,2019-12-01,622.99
6,10004,2019-07-01,692.99
6,10004,2019-08-01,736.99
6,10004,2019-09-01,0.0
6,10004,2019-10-01,603.99
6,10004,2019-11-01,615.99
6,10004,2019-12-01,552.99
7,10004,2019-07-01,0.0
7,10004,2019-08-01,0.0
7,10004,2019-09-01,590.99
7,10004,2019-10-01,647.99
7,10004,2019-11-01,571.99
7,10004,2019-12-01,666.99
1,10005,2019-07-01,299.99
1,10005,2019-08-01,248.99
1,10005,2019-09-01,237.99
1,10005,2019-10-01,321.99
1,10005,2019-11-01,226.99
1,10005,2019-12-01,269.99
2,10005,2019-07-01,261.99
2,10005,2019-08-01,275.99
2,10005,2019-09-01,267.99
2,10005,2019-10-01,307.99
2,10005,2019-11-01,0.0
2,10005,2019-12-01,310.99
3,10005,2019-07-01,232.99
3,10005,2019-08-01,242.99
3,10005,2019-09-01,288.99
3,10005,2019-10-01,237.99
3,10005,2019-11-01,280.99
3,10005,2019-12-01,248.99
4,10005,2019-07-01,0.0
4,10005,2019-08-01,313.99
4,10005,2019-09-01,280.99
4,10005,2019-10-01,240.99
4,10005,2019-11-01,251.99
4,10005,2019-12-01,283.99
5,10005,2019-07-01,296.99
5,10005,2019-08-01,267.99
5,10005,2019-09-01,248.99
5,10005,2019-10-01,237.99
5,10005,2019-11-01,321.99
5,10005,2019-12-01,0.0
6,10005,2019-07-01,0.0
6,10005,2019-08-01,248.99
6,10005,2019-09-01,275.99
6,10005,2019-10-01,259.99
6,10005,2019-11-01,0.0
6,10005,2019-12-01,229.99
7,10005,2019-07-01,302.99
7,10005,2019-08-01,0.0
7,10005,2019-09-01,283.99
7,10005,2019-10-01,275.99
7,10005,2019-11-01,240.99
7,10005,2019-12-01,272.99
1,10006,2019-07-01,557.99
1,10006,2019-08-01,829.99
1,10006,2019-09-01,703.99
1,10006,2019-10-01,634.99
1,10006,2019-11-01,745.99
1,10006,2019-12-01,0.0
2,10006,2019-07-01,780.99
2,10006,2019-08-01,0.0
2,10006,2019-09-01,599.99
2,10006,2019-10-01,669.99
2,10006,2019-11-01,0.0
2,10006,2019-12-01,794.99
3,10006,2019-07-01,0.0
3,10006,2019-08-01,773.99
3,10006,2019-09-01,0.0
3,10006,2019-10-01,0.0
3,10006,2019-11-01,571.99
3,10006,2019-12-01,585.99
4,10006,2019-07-01,703.99
4,10006,2019-08-01,662.99
4,10006,2019-09-01,836.99
4,10006,2019-10-01,745.99
4,10006,2019-11-01,585.99
4,10006,2019-12-01,822.99
5,10006,2019-07-01,648.99
5,10006,2019-08-01,690.99
5,10006,2019-09-01,683.99
5,10006,2019-10-01,606.99
5,10006,2019-11-01,599.99
5,10006,2019-12-01,585.99
6,10006,2019-07-01,599.99
6,10006,2019-08-01,829.99
6,10006,2019-09-01,690.99
6,10006,2019-10-01,613.99
6,10006,2019-11-01,599.99
6,10006,2019-12-01,0.0
7,10006,2019-07-01,787.99
7,10006,2019-08-01,606.99
7,10006,2019-09-01,564.99
7,10006,2019-10-01,731.99
7,10006,2019-11-01,662.99
7,10006,2019-12-01,717.99
1,10007,2019-07-01,298.99
1,10007,2019-08-01,338.99
1,10007,2019-09-01,270.99
1,10007,2019-10-01,270.99
1,10007,2019-11-01,301.99
1,10007,2019-12-01,298.99
2,10007,2019-07-01,292.99
2,10007,2019-08-01,326.99
2,10007,2019-09-01,326.99
2,10007,2019-10-01,0.0
2,10007,2019-11-01,351.99
2,10007,2019-12-01,255.99
3,10007,2019-07-01,0.0
3,10007,2019-08-01,0.0
3,10007,2019-09-01,366.99
3,10007,2019-10-01,267.99
3,10007,2019-11-01,246.99
3,10007,2019-12-01,317.99
4,10007,2019-07-01,277.99
4,10007,2019-08-01,301.99
4,10007,2019-09-01,341.99
4,10007,2019-10-01,320.99
4,10007,2019-11-01,360.99
4,10007,2019-12-01,341.99
5,10007,2019-07-01,0.0
5,10007,2019-08-01,258.99
5,10007,2019-09-01,292.99
5,10007,2019-10-01,0.0
5,10007,2019-11-01,335.99
5,10007,2019-12-01,274.99
6,10007,2019-07-01,320.99
6,10007,2019-08-01,354.99
6,10007,2019-09-01,0.0
6,10007,2019-10-01,338.99
6,10007,2019-11-01,301.99
6,10007,2019-12-01,366.99
7,10007,2019-07-01,258.99
7,10007,2019-08-01,0.0
7,10007,2019-09-01,351.99
7,10007,2019-10-01,255.99
7,10007,2019-11-01,323.99
7,10007,2019-12-01,320.99
1,10008,2019-07-01,167.99
1,10008,2019-08-01,201.99
1,10008,2019-09-01,217.99
1,10008,2019-10-01,231.99
1,10008,2019-11-01,233.99
1,10008,2019-12-01,201.99
2,10008,2019-07-01,189.99
2,10008,2019-08-01,0.0
2,10008,2019-09-01,213.99
2,10008,2019-10-01,221.99
2,10008,2019-11-01,187.99
2,10008,2019-12-01,187.99
3,10008,2019-07-01,239.99
3,10008,2019-08-01,191.99
3,10008,2019-09-01,211.99
3,10008,2019-10-01,193.99
3,10008,2019-11-01,181.99
3,10008,2019-12-01,209.99
4,10008,2019-07-01,0.0
4,10008,2019-08-01,0.0
4,10008,2019-09-01,0.0
4,10008,2019-10-01,163.99
4,10008,2019-11-01,229.99
4,10008,2019-12-01,201.99
5,10008,2019-07-01,0.0
5,10008,2019-08-01,205.99
5,10008,2019-09-01,0.0
5,10008,2019-10-01,193.99
5,10008,2019-11-01,173.99
5,10008,2019-12-01,187.99
6,10008,2019-07-01,165.99
6,10008,2019-08-01,193.99
6,10008,2019-09-01,161.99
6,10008,2019-10-01,201.99
6,10008,2019-11-01,175.99
6,10008,2019-12-01,173.99
7,10008,2019-07-01,189.99
7,10008,2019-08-01,213.99
7,10008,2019-09-01,231.99
7,10008,2019-10-01,203.99
7,10008,2019-11-01,169.99
7,10008,2019-12-01,229.99
1,10009,2019-07-01,0.0
1,10009,2019-08-01,111.99
1,10009,2019-09-01,129.99
1,10009,2019-10-01,89.99
1,10009,2019-11-01,120.99
1,10009,2019-12-01,128.99
2,10009,2019-07-01,91.99
2,10009,2019-08-01,114.99
2,10009,2019-09-01,118.99
2,10009,2019-10-01,95.99
2,10009,2019-11-01,126.99
2,10009,2019-12-01,0.0
3,10009,2019-07-01,93.99
3,10009,2019-08-01,99.99
3,10009,2019-09-01,96.99
3,10009,2019-10-01,108.99
3,10009,2019-11-01,124.99
3,10009,2019-12-01,93.99
4,10009,2019-07-01,120.99
4,10009,2019-08-01,115.99
4,10009,2019-09-01,0.0
4,10009,2019-10-01,117.99
4,10009,2019-11-01,0.0
4,10009,2019-12-01,97.99
5,10009,2019-07-01,102.99
5,10009,2019-08-01,109.99
5,10009,2019-09-01,98.99
5,10009,2019-10-01,121.99
5,10009,2019-11-01,91.99
5,10009,2019-12-01,104.99
6,10009,2019-07-01,127.99
6,10009,2019-08-01,102.99
6,10009,2019-09-01,91.99
6,10009,2019-10-01,105.99
6,10009,2019-11-01,92.99
6,10009,2019-12-01,105.99
7,10009,2019-07-01,119.99
7,10009,2019-08-01,102.99
7,10009,2019-09-01,108.99
7,10009,2019-10-01,0.0
7,10009,2019-11-01,91.99
7,10009,2019-12-01,0.0
1,10010,2019-07-01,175.99
1,10010,2019-08-01,154.99
1,10010,2019-09-01,175.99
1,10010,2019-10-01,0.0
1,10010,2019-11-01,162.99
1,10010,2019-12-01,173.99
2,10010,2019-07-01,0.0
2,10010,2019-08-01,0.0
2,10010,2019-09-01,190.99
2,10010,2019-10-01,0.0
2,10010,2019-11-01,190.99
2,10010,2019-12-01,184.99
3,10010,2019-07-01,152.99
3,10010,2019-08-01,220.99
3,10010,2019-09-01,193.99
3,10010,2019-10-01,156.99
3,10010,2019-11-01,190.99
3,10010,2019-12-01,193.99
4,10010,2019-07-01,160.99
4,10010,2019-08-01,152.99
4,10010,2019-09-01,195.99
4,10010,2019-10-01,186.99
4,10010,2019-11-01,167.99
4,10010,2019-12-01,156.99
5,10010,2019-07-01,167.99
5,10010,2019-08-01,186.99
5,10010,2019-09-01,151.99
5,10010,2019-10-01,0.0
5,10010,2019-11-01,216.99
5,10010,2019-12-01,205.99
6,10010,2019-07-01,154.99
6,10010,2019-08-01,152.99
6,10010,2019-09-01,175.99
6,10010,2019-10-01,212.99
6,10010,2019-11-01,201.99
6,10010,2019-12-01,220.99
7,10010,2019-07-01,195.99
7,10010,2019-08-01,192.99
7,10010,2019-09-01,190.99
7,10010,2019-10-01,0.0
7,10010,2019-11-01,0.0
7,10010,2019-12-01,0.0
1,10011,2019-07-01,338.99
1,10011,2019-08-01,341.99
1,10011,2019-09-01,350.99
1,10011,2019-10-01,344.99
1,10011,2019-11-01,359.99
1,10011,2019-12-01,353.99
2,10011,2019-07-01,359.99
2,10011,2019-08-01,278.99
2,10011,2019-09-01,0.0
2,10011,2019-10-01,257.99
2,10011,2019-11-01,278.99
2,10011,2019-12-01,239.99
3,10011,2019-07-01,242.99
3,10011,2019-08-01,0.0
3,10011,2019-09-01,257.99
3,10011,2019-10-01,245.99
3,10011,2019-11-01,308.99
3,10011,2019-12-01,0.0
4,10011,2019-07-01,308.99
4,10011,2019-08-01,0.0
4,10011,2019-09-01,329.99
4,10011,2019-10-01,278.99
4,10011,2019-11-01,293.99
4,10011,2019-12-01,0.0
5,10011,2019-07-01,284.99
5,10011,2019-08-01,248.99
5,10011,2019-09-01,278.99
5,10011,2019-10-01,281.99
5,10011,2019-11-01,341.99
5,10011,2019-12-01,338.99
6,10011,2019-07-01,0.0
6,10011,2019-08-01,257.99
6,10011,2019-09-01,278.99
6,10011,2019-10-01,272.99
6,10011,2019-11-01,272.99
6,10011,2019-12-01,0.0
7,10011,2019-07-01,350.99
7,10011,2019-08-01,0.0
7,10011,2019-09-01,266.99
7,10011,2019-10-01,0.0
7,10011,2019-11-01,332.99
7,10011,2019-12-01,257.99
1,10012,2019-07-01,505.99
1,10012,2019-08-01,432.99
1,10012,2019-09-01,441.99
1,10012,2019-10-01,381.99
1,10012,2019-11-01,400.99
1,10012,2019-12-01,464.99
2,10012,2019-07-01,446.99
2,10012,2019-08-01,0.0
2,10012,2019-09-01,524.99
2,10012,2019-10-01,423.99
2,10012,2019-11-01,372.99
2,10012,2019-12-01,482.99
3,10012,2019-07-01,473.99
3,10012,2019-08-01,418.99
3,10012,2019-09-01,386.99
3,10012,2019-10-01,528.99
3,10012,2019-11-01,0.0
3,10012,2019-12-01,377.99
4,10012,2019-07-01,413.99
4,10012,2019-08-01,515.99
4,10012,2019-09-01,450.99
4,10012,2019-10-01,459.99
4,10012,2019-11-01,510.99
4,10012,2019-12-01,0.0
5,10012,2019-07-01,400.99
5,10012,2019-08-01,372.99
5,10012,2019-09-01,372.99
5,10012,2019-10-01,427.99
5,10012,2019-11-01,427.99
5,10012,2019-12-01,418.99
6,10012,2019-07-01,377.99
6,10012,2019-08-01,547.99
6,10012,2019-09-01,418.99
6,10012,2019-10-01,464.99
6,10012,2019-11-01,395.99
6,10012,2019-12-01,0.0
7,10012,2019-07-01,469.99
7,10012,2019-08-01,542.99
7,10012,2019-09-01,547.99
7,10012,2019-10-01,542.99
7,10012,2019-11-01,528.99
7,10012,2019-12-01,510.99
1,10013,2019-07-01,191.99
1,10013,2019-08-01,0.0
1,10013,2019-09-01,178.99
1,10013,2019-10-01,259.99
1,10013,2019-11-01,222.99
1,10013,2019-12-01,186.99
2,10013,2019-07-01,178.99
2,10013,2019-08-01,178.99
2,10013,2019-09-01,0.0
2,10013,2019-10-01,230.99
2,10013,2019-11-01,193.99
2,10013,2019-12-01,202.99
3,10013,2019-07-01,0.0
3,10013,2019-08-01,257.99
3,10013,2019-09-01,0.0
3,10013,2019-10-01,0.0
3,10013,2019-11-01,0.0
3,10013,2019-12-01,224.99
4,10013,2019-07-01,259.99
4,10013,2019-08-01,0.0
4,10013,2019-09-01,233.99
4,10013,2019-10-01,263.99
4,10013,2019-11-01,215.99
4,10013,2019-12-01,178.99
5,10013,2019-07-01,250.99
5,10013,2019-08-01,224.99
5,10013,2019-09-01,211.99
5,10013,2019-10-01,239.99
5,10013,2019-11-01,217.99
5,10013,2019-12-01,259.99
6,10013,2019-07-01,197.99
6,10013,2019-08-01,182.99
6,10013,2019-09-01,0.0
6,10013,2019-10-01,224.99
6,10013,2019-11-01,257.99
6,10013,2019-12-01,239.99
7,10013,2019-07-01,186.99
7,10013,2019-08-01,175.99
7,10013,2019-09-01,175.99
7,10013,2019-10-01,180.99
7,10013,2019-11-01,182.99
7,10013,2019-12-01,255.99
1,10014,2019-07-01,0.0
1,10014,2019-08-01,180.99
1,10014,2019-09-01,161.99
1,10014,2019-10-01,161.99
1,10014,2019-11-01,167.99
1,10014,2019-12-01,188.99
2,10014,2019-07-01,203.99
2,10014,2019-08-01,161.99
2,10014,2019-09-01,159.99
2,10014,2019-10-01,199.99
2,10014,2019-11-01,167.99
2,10014,2019-12-01,216.99
3,10014,2019-07-01,0.0
3,10014,2019-08-01,193.99
3,10014,2019-09-01,0.0
3,10014,2019-10-01,161.99
3,10014,2019-11-01,199.99
3,10014,2019-12-01,203.99
4,10014,2019-07-01,201.99
4,10014,2019-08-01,220.99
4,10014,2019-09-01,169.99
4,10014,2019-10-01,151.99
4,10014,2019-11-01,226.99
4,10014,2019-12-01,201.99
5,10014,2019-07-01,170.99
5,10014,2019-08-01,188.99
5,10014,2019-09-01,195.99
5,10014,2019-10-01,188.99
5,10014,2019-11-01,220.99
5,10014,2019-12-01,218.99
6,10014,2019-07-01,207.99
6,10014,2019-08-01,0.0
6,10014,2019-09-01,189.99
6,10014,2019-10-01,170.99
6,10014,2019-11-01,151.99
6,10014,2019-12-01,184.99
7,10014,2019-07-01,163.99
7,10014,2019-08-01,201.99
7,10014,2019-09-01,227.99
7,10014,2019-10-01,161.99
7,10014,2019-11-01,222.99
7,10014,2019-12-01,180.99
1,10015,2019-07-01,93.99
1,10015,2019-08-01,85.99
1,10015,2019-09-01,85.99
1,10015,2019-10-01,87.99
1,10015,2019-11-01,72.99
1,10015,2019-12-01,96.99
2,10015,2019-07-01,87.99
2,10015,2019-08-01,94.99
2,10015,2019-09-01,100.99
2,10015,2019-10-01,80.99
2,10015,2019-11-01,102.99
2,10015,2019-12-01,0.0
3,10015,2019-07-01,89.99
3,10015,2019-08-01,79.99
3,10015,2019-09-01,91.99
3,10015,2019-10-01,86.99
3,10015,2019-11-01,0.0
3,10015,2019-12-01,89.99
4,10015,2019-07-01,102.99
4,10015,2019-08-01,72.99
4,10015,2019-09-01,0.0
4,10015,2019-10-01,90.99
4,10015,2019-11-01,84.99
4,10015,2019-12-01,0.0
5,10015,2019-07-01,78.99
5,10015,2019-08-01,79.99
5,10015,2019-09-01,88.99
5,10015,2019-10-01,74.99
5,10015,2019-11-01,80.99
5,10015,2019-12-01,103.99
6,10015,2019-07-01,100.99
6,10015,2019-08-01,0.0
6,10015,2019-09-01,92.99
6,10015,2019-10-01,72.99
6,10015,2019-11-01,76.99
6,10015,2019-12-01,105.99
7,10015,2019-07-01,84.99
7,10015,2019-08-01,94.99
7,10015,2019-09-01,80.99
7,10015,2019-10-01,73.99
7,10015,2019-11-01,74.99
7,10015,2019-12-01,88.99
1,10016,2019-07-01,197.99
1,10016,2019-08-01,185.99
1,10016,2019-09-01,185.99
1,10016,2019-10-01,210.99
1,10016,2019-11-01,204.99
1,10016,2019-12-01,225.99
2,10016,2019-07-01,219.99
2,10016,2019-08-01,195.99
2,10016,2019-09-01,223.99
2,10016,2019-10-01,191.99
2,10016,2019-11-01,157.99
2,10016,2019-12-01,208.99
3,10016,2019-07-01,161.99
3,10016,2019-08-01,172.99
3,10016,2019-09-01,176.99
3,10016,2019-10-01,191.99
3,10016,2019-11-01,189.99
3,10016,2019-12-01,214.99
4,10016,2019-07-01,157.99
4,10016,2019-08-01,168.99
4,10016,2019-09-01,170.99
4,10016,2019-10-01,159.99
4,10016,2019-11-01,189.99
4,10016,2019-12-01,174.99
5,10016,2019-07-01,214.99
5,10016,2019-08-01,159.99
5,10016,2019-09-01,227.99
5,10016,2019-10-01,151.99
5,10016,2019-11-01,178.99
5,10016,2019-12-01,0.0
6,10016,2019-07-01,164.99
6,10016,2019-08-01,0.0
6,10016,2019-09-01,155.99
6,10016,2019-10-01,208.99
6,10016,2019-11-01,212.99
6,10016,2019-12-01,191.99
7,10016,2019-07-01,202.99
7,10016,2019-08-01,217.99
7,10016,2019-09-01,210.99
7,10016,2019-10-01,197.99
7,10016,2019-11-01,214.99
7,10016,2019-12-01,185.99
1,10017,2019-07-01,485.99
1,10017,2019-08-01,396.99
1,10017,2019-09-01,470.99
1,10017,2019-10-01,529.99
1,10017,2019-11-01,514.99
1,10017,2019-12-01,445.99
2,10017,2019-07-01,436.99
2,10017,2019-08-01,538.99
2,10017,2019-09-01,436.99
2,10017,2019-10-01,583.99
2,10017,2019-11-01,460.99
2,10017,2019-12-01,460.99
3,10017,2019-07-01,401.99
3,10017,2019-08-01,416.99
3,10017,2019-09-01,470.99
3,10017,2019-10-01,563.99
3,10017,2019-11-01,431.99
3,10017,2019-12-01,519.99
4,10017,2019-07-01,568.99
4,10017,2019-08-01,573.99
4,10017,2019-09-01,524.99
4,10017,2019-10-01,0.0
4,10017,2019-11-01,524.99
4,10017,2019-12-01,411.99
5,10017,2019-07-01,455.99
5,10017,2019-08-01,450.99
5,10017,2019-09-01,416.99
5,10017,2019-10-01,583.99
5,10017,2019-11-01,524.99
5,10017,2019-12-01,578.99
6,10017,2019-07-01,485.99
6,10017,2019-08-01,524.99
6,10017,2019-09-01,406.99
6,10017,2019-10-01,553.99
6,10017,2019-11-01,509.99
6,10017,2019-12-01,421.99
7,10017,2019-07-01,524.99
7,10017,2019-08-01,514.99
7,10017,2019-09-01,587.99
7,10017,2019-10-01,475.99
7,10017,2019-11-01,391.99
7,10017,2019-12-01,406.99
1,10018,2019-07-01,159.99
1,10018,2019-08-01,127.99
1,10018,2019-09-01,162.99
1,10018,2019-10-01,179.99
1,10018,2019-11-01,173.99
1,10018,2019-12-01,0.0
2,10018,2019-07-01,182.99
2,10018,2019-08-01,135.99
2,10018,2019-09-01,0.0
2,10018,2019-10-01,168.99
2,10018,2019-11-01,143.99
2,10018,2019-12-01,166.99
3,10018,2019-07-01,0.0
3,10018,2019-08-01,187.99
3,10018,2019-09-01,135.99
3,10018,2019-10-01,168.99
3,10018,2019-11-01,170.99
3,10018,2019-12-01,138.99
4,10018,2019-07-01,151.99
4,10018,2019-08-01,151.99
4,10018,2019-09-01,171.99
4,10018,2019-10-01,149.99
4,10018,2019-11-01,146.99
4,10018,2019-12-01,154.99
5,10018,2019-07-01,0.0
5,10018,2019-08-01,151.99
5,10018,2019-09-01,138.99
5,10018,2019-10-01,0.0
5,10018,2019-11-01,128.99
5,10018,2019-12-01,0.0
6,10018,2019-07-01,0.0
6,10018,2019-08-01,187.99
6,10018,2019-09-01,0.0
6,10018,2019-10-01,0.0
6,10018,2019-11-01,159.99
6,10018,2019-12-01,186.99
7,10018,2019-07-01,127.99
7,10018,2019-08-01,171.99
7,10018,2019-09-01,159.99
7,10018,2019-10-01,168.99
7,10018,2019-11-01,0.0
7,10018,2019-12-01,151.99
1,10019,2019-07-01,140.99
1,10019,2019-08-01,106.99
1,10019,2019-09-01,131.99
1,10019,2019-10-01,105.99
1,10019,2019-11-01,132.99
1,10019,2019-12-01,0.0
2,10019,2019-07-01,126.99
2,10019,2019-08-01,102.99
2,10019,2019-09-01,124.99
2,10019,2019-10-01,132.99
2,10019,2019-11-01,123.99
2,10019,2019-12-01,110.99
3,10019,2019-07-01,117.99
3,10019,2019-08-01,109.99
3,10019,2019-09-01,0.0
3,10019,2019-10-01,106.99
3,10019,2019-11-01,129.99
3,10019,2019-12-01,131.99
4,10019,2019-07-01,102.99
4,10019,2019-08-01,121.99
4,10019,2019-09-01,147.99
4,10019,2019-10-01,98.99
4,10019,2019-11-01,0.0
4,10019,2019-12-01,0.0
5,10019,2019-07-01,105.99
5,10019,2019-08-01,113.99
5,10019,2019-09-01,117.99
5,10019,2019-10-01,126.99
5,10019,2019-11-01,140.99
5,10019,2019-12-01,143.99
6,10019,2019-07-01,145.99
6,10019,2019-08-01,121.99
6,10019,2019-09-01,0.0
6,10019,2019-10-01,111.99
6,10019,2019-11-01,144.99
6,10019,2019-12-01,112.99
7,10019,2019-07-01,111.99
7,10019,2019-08-01,102.99
7,10019,2019-09-01,106.99
7,10019,2019-10-01,98.99
7,10019,2019-11-01,105.99
7,10019,2019-12-01,100.99
1,10020,2019-07-01,93.99
1,10020,2019-08-01,0.0
1,10020,2019-09-01,118.99
1,10020,2019-10-01,100.99
1,10020,2019-11-01,119.99
1,10020,2019-12-01,102.99
2,10020,2019-07-01,131.99
2,10020,2019-08-01,94.99
2,10020,2019-09-01,90.99
2,10020,2019-10-01,98.99
2,10020,2019-11-01,0.0
2,10020,2019-12-01,0.0
3,10020,2019-07-01,91.99
3,10020,2019-08-01,96.99
3,10020,2019-09-01,103.99
3,10020,2019-10-01,101.99
3,10020,2019-11-01,94.99
3,10020,2019-12-01,122.99
4,10020,2019-07-01,0.0
4,10020,2019-08-01,130.99
4,10020,2019-09-01,108.99
4,10020,2019-10-01,109.99
4,10020,2019-11-01,95.99
4,10020,2019-12-01,113.99
5,10020,2019-07-01,105.99
5,10020,2019-08-01,112.99
5,10020,2019-09-01,129.99
5,10020,2019-10-01,107.99
5,10020,2019-11-01,126.99
5,10020,2019-12-01,0.0
6,10020,2019-07-01,130.99
6,10020,2019-08-01,118.99
6,10020,2019-09-01,110.99
